country,subnational1,initial_area_ha,extent_2010_ha,gain_2010_2020_ha,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,loss_agri_perc,loss_urban_perc,loss_wildfire_perc,avg_tc_loss,extent_2020_ha
Brazil,Piauí,25110054,25110054,54850,124572,99339,171254,117643,143583,82622,192364,112006,133172,88742,94011,0.337,10.003,13.365,123573.4545,23750746
Brazil,Rio Grande do Norte,5324734,5324734,4668,14594,5939,17962,7666,8573,5032,7971,6327,3119,2582,2793,0.983,4.421,12.819,7505.272727,5242176
Brazil,Rio Grande do Sul,27142235,5135859,575081,22114,18519,44939,23249,29899,20102,32476,47487,27793,27574,30386,0.159,8.9,9.087,29503.45455,26817697
Brazil,Rio de Janeiro,4368757,4368757,41201,2891,4655,3152,3088,9640,5213,4702,18926,5384,4424,4753,0.896,11.537,14.919,6075.272727,4301929
Brazil,Rondônia,23637740,23637740,132560,207719,156550,163002,83422,200987,172076,280120,298030,200205,198684,215910,0.29,5.163,11.691,197882.2727,21461035
Brazil,Roraima,22438018,22438018,39996,23129,19540,20890,20199,33317,34785,340488,48131,51179,163640,36077,0.611,12.799,10.781,71943.18182,21646643
Brazil,Santa Catarina,9863944,9863944,371609,36969,33334,44980,45541,61421,41684,78506,103007,66338,66248,67494,0.937,9.284,13.153,58683.81818,9218422
Brazil,Sergipe,2202799,2202799,10892,12393,9706,5266,4118,3419,1904,4824,9447,3031,3614,5019,0.247,3.147,9.405,5703.727273,2140058
Brazil,São Paulo,24760753,24760753,747653,82651,58979,95934,89328,90172,71114,89994,104060,71649,73252,65365,0.778,7.876,2.056,81136.18182,23868255
Brazil,Tocantins,27762408,27762408,158448,79210,68785,114946,122306,161914,162287,189534,243628,173419,138598,138815,0.194,13.659,4.68,144858.3636,26168966
India,Andaman and Nicobar,761084,761084,2229,780,99,771,542,1808,78,183,308,121,197,1423,0.826,9.055,1.204,573.6363636,754774
India,Andhra Pradesh,16004980,16004980,194340,1265,4392,2378,4271,4068,2320,6048,6735,9999,7316,5461,0.16,13.428,0.983,4932.090909,15950727
India,Arunachal Pradesh,8199543,8199543,64907,6063,13103,15644,11284,16147,15258,23294,23546,14387,12468,16246,0.489,10.672,2.017,15221.81818,8032103
India,Assam,7849232,7849232,163055,11000,15240,18020,10583,26064,15324,29272,20867,17788,13376,22087,1.76,12.009,1.356,18147.36364,7649611
India,Bihar,9423241,9423241,42365,206,103,280,198,127,24,25,50,22,21,45,1.04,11.384,1.768,100.0909091,9422140
India,Chandigarh,11812,11812,197,0,0,0,0,0,0,0,0,0,0,0,0.63,13.961,1.029,0,11812
India,Chhattisgarh,13543155,13543155,57778,1881,9110,4670,2142,2520,2051,3058,2307,3178,2843,1660,1.21,9.873,2.201,3220,13507735
India,Dadra and Nagar Haveli,49152,0,425,0,0,0,0,0,0,0,0,0,0,0,0.95,14.012,1.483,0,49152
India,Daman and Diu,8354,8354,168,0,0,0,0,0,0,0,0,0,0,0,1.87,10.221,1.116,0,8354
India,Goa,369568,17751,4030,0,29,10,2,4,4,9,10,10,7,3,0.74,12.598,2.089,8,369480
India,Gujarat,18572011,18572011,41730,8,12,41,75,31,0,0,0,8,11,4,1.58,11.947,0.972,17.27272727,18571821
India,Haryana,4402448,28437,9788,33,12,41,1,1,0,1,0,0,6,1,0.66,13.111,1.658,8.727272727,4402352
India,Himachal Pradesh,5560349,355045,42350,146,31,456,21,15,1,3,44,101,59,22,1.42,10.854,2.274,81.72727273,5559450
India,Jammu and Kashmir,10566005,10566005,57484,312,89,433,77,84,3,19,87,103,39,64,0.8,9.39,1.091,119.0909091,10564695
India,Jharkhand,8003988,1163,61611,63,36,27,0,1,0,0,0,0,0,0,1.15,13.776,1.837,11.54545455,8003861
India,Karnataka,19137912,19137912,222397,937,2420,3476,4776,4800,3006,6957,6646,7806,5936,7221,0.53,12.362,0.956,4907.363636,19083931
India,Kerala,3770052,655109,18432,72,2100,1834,1143,1600,1295,2797,4188,2474,3310,3079,1.73,11.623,2.127,2172,3746160
India,Lakshadweep,3482,3482,0,0,0,0,0,0,0,0,0,0,0,0,0.97,10.095,1.573,0,3482
India,Madhya Pradesh,30805387,6822,46558,18,46,17,2,6,1,3,2,7,0,1,1.36,13.209,1.328,9.363636364,30805284
India,Maharashtra,30733885,30733885,52691,586,2811,2004,1550,1809,814,2161,1819,2165,2192,1586,0.6,9.708,2.044,1772.454545,30714388
India,Manipur,2232073,1250333,15758,3622,5116,6740,7468,9981,9643,13773,12143,8782,8601,9187,1.68,12.834,1.019,8641.454545,2137017
India,Meghalaya,2251620,2251620,23721,6734,5811,6274,9654,21816,19432,24612,26762,17321,15134,15822,0.84,10.987,1.912,15397.45455,2082248
India,Mizoram,2125175,1356090,16562,2516,2783,5029,6262,10235,13275,20639,25878,14117,13432,13693,1.27,14.027,1.246,11623.54545,1997316
India,NCT of Delhi,150220,150220,512,5,2,6,1,0,0,0,0,0,0,0,0.71,11.239,0.995,1.272727273,150206
India,Nagaland,1659962,936180,30302,3884,5430,7653,6553,10947,9954,12228,11590,7691,6160,7988,1.9,9.561,2.298,8188.909091,1569884
India,Odisha,15563805,15563805,139736,2856,7019,5332,10230,14171,7535,16567,19824,19021,15368,18157,1.03,12.413,1.204,12370.90909,15427725
